text,intent
"Excuse me, what time do you open",hours
I'm wondering how much money,pricing
are you open today,hours
Thanks so much,goodbye
What time can i come,hours
what drinks do you have?,menu
what's your special?,menu
Can you tell me how far are you,direction
I'd like to know when does the restaurant open,hours
what time can I come?,hours
goodbye?,goodbye
GOODBYE,goodbye
what are your menu items,menu
good evening please,greeting
Can you tell me are you open today,hours
see you later please,goodbye
MAKE A BOOKING,reservation
I'd like to know how much for two people,pricing
how much is the pasta,pricing
do you have vegetarian options please,menu
thank you please,goodbye
how much for dinner,pricing
I'd like to know what time do you open,hours
Can you tell me how much for two people,pricing
I'd like to know what area are you in,direction
"Excuse me, is parking available",general_question
I'd like to know good morning,greeting
"Excuse me, table reservation",reservation
I'm wondering goodbye,goodbye
book a table for tonight,reservation
Can you tell me what's your phone number,general_question
"Excuse me, what food do you have",menu
how much for two people,pricing
"Excuse me, hi how are you",greeting
see you?,goodbye
"Excuse me, how much for dinner",pricing
I'd like to know reservation for friday,reservation
Can you tell me where is the restaurant,direction
Can you tell me can I call you,general_question
Can you tell me do you have wifi,general_question
when does the restaurant open,hours
When do you close,hours
WHAT'S FOR DINNER,menu
What's the cost,pricing
"Excuse me, do you have wifi",general_question
when does the restaurant open please,hours
Can you tell me thanks,goodbye
can you give me the address,direction
what days are you open please,hours
book a table please,reservation
good morning please,greeting
I'm wondering do you have wifi,general_question
bye for now please,goodbye
thanks bye please,goodbye
Good afternoon,greeting
"Excuse me, table for 4 please",reservation
thank you have a good day?,goodbye
"Excuse me, appreciate the help",goodbye
"Excuse me, what's your address",direction
Can you tell me are prices reasonable,pricing
I'd like to know hey there,greeting
I'd like to know see you,goodbye
I'd like to know can I come at 7pm,hours
Table for 4 please,reservation
"Excuse me, what's good here",menu
I'd like to know thank you have a good day,goodbye
"Excuse me, do you take reservations",general_question
what about sunday please,hours
Can you tell me can I book a table,reservation
I'm wondering what food do you have,menu
reserve for 7pm,reservation
hi how are you,greeting
hello please,greeting
Can you tell me good afternoon,greeting
"Excuse me, what are the opening hours",hours
what area are you in,direction
I'm wondering how much does dinner cost,pricing
"Excuse me, is it expensive",pricing
I'm wondering where is it,direction
are you open now?,hours
Can you tell me bye,goodbye
"Excuse me, bye",goodbye
hi how are you?,greeting
what payment methods,general_question
I'd like to know what payment methods,general_question
I'm wondering what's for dinner,menu
Do you cater,general_question
I'd like to know how much is the pasta,pricing
are prices reasonable please,pricing
is it expensive,pricing
I'm wondering what's the price range,pricing
what's the cost please,pricing
Can you tell me make a reservation for tomorrow,reservation
See you later,goodbye
I'd like to know what about sunday,hours
Thanks talk to you later,goodbye
make a reservation for tomorrow?,reservation
directions please,direction
Can you tell me where can I find you,direction
"Excuse me, where can I find you",direction
What's good here,menu
hi how are you please,greeting
how much for dinner?,pricing
are you open now,hours
"Excuse me, what's available",menu
hi can you help?,greeting
what's the average price please,pricing
How much money,pricing
"Excuse me, where is it",direction
tell me about your menu?,menu
I'm wondering what's your policy,general_question
what are your operating hours,hours
"Excuse me, make a booking",reservation
evening,greeting
thanks for your help,goodbye
I'd like to know hello I need help,greeting
Can you tell me when does the restaurant open,hours
do you have music please,general_question
tell me about your menu,menu
make a reservation for tomorrow,reservation
are prices reasonable?,pricing
what do you recommend,menu
Do you have wifi,general_question
"Excuse me, good evening",greeting
I'd like to reserve,reservation
hello,greeting
is it wheelchair accessible?,general_question
what do you recommend please,menu
reservation for friday?,reservation
what's the average price,pricing
what are your business hours,hours
do you deliver,general_question
what's on the menu,menu
I'd like to know show me the menu,menu
Thank you very much,goodbye
is the restaurant open?,hours
I'm wondering appreciate it,goodbye
thanks?,goodbye
good evening,greeting
I'm wondering what's the dress code,general_question
WHAT'S NEARBY,direction
I'm wondering what's the average price,pricing
good morning?,greeting
how to get to the restaurant,direction
HI CAN YOU HELP,greeting
how much for two people please,pricing
SEE YOU,goodbye
is it affordable,pricing
Can you tell me what's available,menu
I'm wondering what about sunday,hours
When are you open,hours
I'm wondering what's your capacity,general_question
thanks for your help?,goodbye
hey I have a question,greeting
what's available please,menu
I'd like to know what are your menu items,menu
I'm wondering thank you very much,goodbye
Can you tell me do you have parking,general_question
Can you tell me can you give me the address,direction
table reservation,reservation
"Excuse me, hey",greeting
I'd like to know greetings,greeting
I'm wondering make a booking,reservation
"Excuse me, how much does dinner cost",pricing
what are your hours please,hours
hi there,greeting
I'd like to know hi can you help,greeting
Can you tell me bye for now,goodbye
is it expensive?,pricing
do you have outdoor seating,general_question
I'd like to know what dishes are available,menu
WHAT CAN I ORDER,menu
thanks please,goodbye
HOW DO I GET THERE,direction
what's the price range,pricing
what's your capacity,general_question
Can you tell me hi how are you,greeting
I'm wondering thank you goodbye,goodbye
Can you tell me can I reserve a table,reservation
Can you tell me do you deliver,general_question
where are you located,direction
"Excuse me, see you",goodbye
"Excuse me, what are your menu items",menu
What time does it close,hours
what's the location please,direction
WHAT'S YOUR SPECIAL,menu
what dishes are available please,menu
is the restaurant open,hours
I'd like to know where are you,direction
Can you tell me how to get to the restaurant,direction
when are you open please,hours
I'd like to know how to get to the restaurant,direction
I'd like to know can I reserve a table,reservation
I'm wondering give me directions,direction
how to get to the restaurant please,direction
are prices reasonable,pricing
I'd like to know do you deliver,general_question
what's available,menu
morning please,greeting
Can you tell me hey there,greeting
I'm wondering thanks bye,goodbye
Can you tell me book a table,reservation
I'm wondering are you open today,hours
"Excuse me, do you have a bar",general_question
is it wheelchair accessible please,general_question
is it wheelchair accessible,general_question
when are you open?,hours
what do you charge,pricing
"Excuse me, can you give me the address",direction
what are the opening hours,hours
Can you tell me when are you open,hours
Can you reserve us a table,reservation
show me the menu,menu
is the restaurant open please,hours
I'd like to know bye for now,goodbye
Can you tell me what drinks do you have,menu
where are you please,direction
Give me directions,direction
Can you tell me afternoon,greeting
hi there please,greeting
I'm wondering do you cater,general_question
I'd like to know do you have music,general_question
what time does it close please,hours
"Excuse me, what's the location",direction
do you cater please,general_question
see you please,goodbye
what are your business hours please,hours
thank you have a good day please,goodbye
I'd like to know when are you open,hours
"Excuse me, what area are you in",direction
I'd like to know what's popular,menu
Can you tell me where is it,direction
what's for dinner please,menu
Can you tell me are kids welcome,general_question
"Excuse me, what's the dress code",general_question
I'd like to know thanks so much,goodbye
can we get a table?,reservation
what's good here?,menu
Can you tell me what payment methods,general_question
I'd like to know I need a reservation,reservation
Can you tell me directions please,direction
what's the price,pricing
I'd like to know where exactly,direction
I'd like to know is parking available,general_question
can I call you,general_question
do you have a bar,general_question
I need a reservation please,reservation
I'd like to know good day,greeting
hey there?,greeting
I'd like to know what are the opening hours,hours
"Excuse me, what payment methods",general_question
when do you close please,hours
hey,greeting
where exactly,direction
I need a reservation?,reservation
I'm wondering reserve a table for 2,reservation
I'm wondering how much for two people,pricing
do you have outdoor seating?,general_question
"Excuse me, what dishes are available",menu
I'd like to know what's the location,direction
I'd like to know I'd like to reserve,reservation
book a table?,reservation
I'm wondering when does the restaurant open,hours
what do you serve?,menu
is it affordable please,pricing
I'm wondering good afternoon,greeting
I'm wondering is the restaurant open,hours
I'd like to know goodbye,goodbye
Reservation for friday,reservation
what's the price?,pricing
Can you tell me can we get a table,reservation
I'm wondering I need a reservation,reservation
I need a reservation,reservation
I'm wondering when are you open,hours
Can you tell me see you later,goodbye
Can you tell me hey,greeting
Can you tell me how do I get there,direction
bye?,goodbye
I'd like to know do you have outdoor seating,general_question
good evening?,greeting
"Excuse me, is the restaurant open",hours
I'm wondering table for 4 please,reservation
do you have parking,general_question
I'd like to know what's your capacity,general_question
show me the menu?,menu
"Excuse me, see you later",goodbye
I'd like to know where can I find you,direction
appreciate the help please,goodbye
what about sunday,hours
WHAT'S YOUR POLICY,general_question
thank you goodbye,goodbye
are you open on weekends please,hours
what's your capacity please,general_question
Can you tell me how much does it cost,pricing
Can you tell me how much for dinner,pricing
I'm wondering do you accept cards,pricing
I'm wondering greetings,greeting
I'd like to know how far are you,direction
what's the dress code please,general_question
can I book a table,reservation
what dishes are available,menu
I'm wondering good evening,greeting
good morning,greeting
I'd like to know how much money,pricing
give me directions?,direction
"Excuse me, book a table",reservation
Can you tell me what's popular,menu
I'm wondering do you have music,general_question
Can you tell me what's your address,direction
I'd like to know give me directions,direction
what are your menu items please,menu
I'm wondering what's your address,direction
I'm wondering how much for dinner,pricing
I'm wondering what kind of food,menu
is it expensive please,pricing
how far are you please,direction
Can you tell me what are your business hours,hours
what's your capacity?,general_question
thanks,goodbye
Can you tell me what's the location,direction
Can you tell me morning,greeting
"Excuse me, good day",greeting
Can you tell me where are you located,direction
what's nearby?,direction
I just want a chicken shawarma sandwich,menu
Can I get one chicken shawarma sandwich?,menu
Let me do a chicken shawarma sandwich for pickup,menu
"I'd like a chicken shawarma sandwich, please",menu
Order one chicken shawarma sandwich under Hasan,menu
I'm craving a chicken shawarma sandwich,menu
Could you make me a chicken shawarma sandwich?,menu
I just want a beef shawarma sandwich,menu
Can I get one beef shawarma sandwich?,menu
Let me do a beef shawarma sandwich for pickup,menu
"I'd like a beef shawarma sandwich, please",menu
Order one beef shawarma sandwich under Hasan,menu
I'm craving a beef shawarma sandwich,menu
Could you make me a beef shawarma sandwich?,menu
I just want a mixed shawarma sandwich,menu
Can I get one mixed shawarma sandwich?,menu
Let me do a mixed shawarma sandwich for pickup,menu
"I'd like a mixed shawarma sandwich, please",menu
Order one mixed shawarma sandwich under Hasan,menu
I'm craving a mixed shawarma sandwich,menu
Could you make me a mixed shawarma sandwich?,menu
I just want a chicken shawarma wrap,menu
Can I get one chicken shawarma wrap?,menu
Let me do a chicken shawarma wrap for pickup,menu
"I'd like a chicken shawarma wrap, please",menu
Order one chicken shawarma wrap under Hasan,menu
I'm craving a chicken shawarma wrap,menu
Could you make me a chicken shawarma wrap?,menu
I just want a beef shawarma wrap,menu
Can I get one beef shawarma wrap?,menu
Let me do a beef shawarma wrap for pickup,menu
"I'd like a beef shawarma wrap, please",menu
Order one beef shawarma wrap under Hasan,menu
I'm craving a beef shawarma wrap,menu
Could you make me a beef shawarma wrap?,menu
"A small lentil soup, please",menu
Can I get a small lentil soup?,menu
I'd like just a small lentil soup,menu
Let me order a small lentil soup to go,menu
Can you add a small lentil soup to my order?,menu
"A large lentil soup, please",menu
Can I get a large lentil soup?,menu
I'd like just a large lentil soup,menu
Let me order a large lentil soup to go,menu
Can you add a large lentil soup to my order?,menu
A single lamb skewer and a small fattoush,menu
I just want one lamb skewer with a side salad,menu
"Add a lamb skewer to my fattoush, please",menu
I'll do a lamb skewer on its own,menu
A single kafta skewer and a small fattoush,menu
I just want one kafta skewer with a side salad,menu
"Add a kafta skewer to my fattoush, please",menu
I'll do a kafta skewer on its own,menu
A single beef skewer and a small fattoush,menu
I just want one beef skewer with a side salad,menu
"Add a beef skewer to my fattoush, please",menu
I'll do a beef skewer on its own,menu
I need a falafel wrap for pickup,menu
Can I place a falafel wrap order for pickup?,menu
I'd like to order a falafel wrap and pick it up,menu
Let me get a falafel wrap to pick up later,menu
Please make a falafel wrap for takeout,menu
I need a chicken shawarma plate for pickup,menu
Can I place a chicken shawarma plate order for pickup?,menu
I'd like to order a chicken shawarma plate and pick it up,menu
Let me get a chicken shawarma plate to pick up later,menu
Please make a chicken shawarma plate for takeout,menu
I need a kafta plate for pickup,menu
Can I place a kafta plate order for pickup?,menu
I'd like to order a kafta plate and pick it up,menu
Let me get a kafta plate to pick up later,menu
Please make a kafta plate for takeout,menu
I need a shish taouk plate for pickup,menu
Can I place a shish taouk plate order for pickup?,menu
I'd like to order a shish taouk plate and pick it up,menu
Let me get a shish taouk plate to pick up later,menu
Please make a shish taouk plate for takeout,menu
Just a side of hummus and a Laban-up,menu
Can I get hummus with a Laban-up?,menu
One hummus and one Laban-up drink,menu
A hummus side and a can of Laban-up,menu
Add hummus and Laban-up to my order,menu
The vegetarian platter for one,menu
I'll do the veggie platter for one person,menu
I want the vegetarian plate for one,menu
Can I get one vegetarian platter?,menu
I want the Shish Taouk plate,menu
Give me the Shish Taouk plate,menu
I'd like to order the Shish Taouk plate,menu
"One Shish Taouk plate, please",menu
I want the Mixed grill plate,menu
Give me the Mixed grill plate,menu
I'd like to order the Mixed grill plate,menu
"One Mixed grill plate, please",menu
I want the Kafta kebab plate,menu
Give me the Kafta kebab plate,menu
I'd like to order the Kafta kebab plate,menu
"One Kafta kebab plate, please",menu
I want the Chicken shawarma plate,menu
Give me the Chicken shawarma plate,menu
I'd like to order the Chicken shawarma plate,menu
"One Chicken shawarma plate, please",menu
One Za'atar manakish with tomato and mint,menu
Can I get a Za'atar manakish and add tomato and mint?,menu
I want a Za'atar manakish topped with tomato and mint,menu
Please make me a Za'atar manakish with tomato and fresh mint,menu
One cheese manakish with tomato and mint,menu
Can I get a cheese manakish and add tomato and mint?,menu
I want a cheese manakish topped with tomato and mint,menu
Please make me a cheese manakish with tomato and fresh mint,menu
One za'atar and cheese manakish with tomato and mint,menu
Can I get a za'atar and cheese manakish and add tomato and mint?,menu
I want a za'atar and cheese manakish topped with tomato and mint,menu
Please make me a za'atar and cheese manakish with tomato and fresh mint,menu
I'd like the house burger,menu
Can I get the house burger?,menu
"One house burger, please",menu
Let me do the house burger combo,menu
A large tabbouleh salad,menu
Can I have a large tabbouleh salad?,menu
Let me order a large tabbouleh salad,menu
"I'd like just a large tabbouleh salad, no meat",menu
A large fattoush salad,menu
Can I have a large fattoush salad?,menu
Let me order a large fattoush salad,menu
"I'd like just a large fattoush salad, no meat",menu
A Greek salad,menu
Can I have a Greek salad?,menu
Let me order a Greek salad,menu
"I'd like just a Greek salad, no meat",menu
Can I get a glass of Arak on the rocks?,menu
"One Arak on the rocks, please",menu
Pour me an Arak with ice,menu
I'd like Arak over ice,menu
"I need a cup of Turkish coffee, medium sweet",menu
"One Turkish coffee, medium sugar",menu
"Turkish coffee, medium sweetness, please",menu
"Can I get Turkish coffee, not too sweet?",menu
Just a side of Batata Harra,menu
I want Batata Harra as a side,menu
Add Batata Harra to the order,menu
Let me do Batata Harra only,menu
We need a feast for 4 adults,menu
Can you put together a feast for four people?,menu
We are four adults and want to share,menu
What's a good feast for 4 adults?,menu
Two full shawarma plates and three falafel wraps,menu
I want 2 shawarma plates and 3 falafel wraps,menu
Can I order two shawarma plates plus three falafel wraps?,menu
Do two chicken shawarma plates and three falafel wraps,menu
A dozen mixed meat sambousek,menu
I need 12 mixed sambousek,menu
"Twelve sambousek, mixed beef and lamb",menu
"One dozen mixed meat sambousek, please",menu
I want a large platter of Kibbeh Nayyeh,menu
"Can I get Kibbeh Nayyeh, large platter?",menu
One big Kibbeh Nayyeh platter for the table,menu
Order a large Kibbeh Nayyeh to share,menu
"A tray of baklava, 20 pieces",menu
I want about 20 pieces of baklava on a tray,menu
Can you do a 20-piece baklava tray?,menu
"Baklava tray, around twenty pieces please",menu
"We need two orders of hummus, two tabbouleh, and a mixed grill for 5",menu
"Two hummus, two tabbouleh and a mixed grill to feed five",menu
Mixed grill for 5 plus two hummus and two tabbouleh,menu
Order a mixed grill for five with two hummus and two tabbouleh,menu
Three kids meals and two adult entrees,menu
I need 3 kids meals and 2 entrees for adults,menu
Can I get three kids meals plus two adult plates?,menu
Order 3 kids combos and 2 regular entrees,menu
I need 10 large pita breads and a half-kilo of labneh,menu
Ten large pita breads and half a kilo of labneh,menu
Can I order 10 pita and 0.5 kilo labneh?,menu
Please do ten large pita rounds and half kilo labneh,menu
Can I order four different manakish for the table?,menu
We want four manakish to share,menu
Do four assorted manakish for us,menu
Order four mixed manakish for the table,menu
A pitcher of mint lemonade for our table,menu
We want a whole pitcher of mint lemonade,menu
Can we get a pitcher of your mint lemonade?,menu
One pitcher of mint lemonade for six people,menu
"We are 6 people, what's a good way to share?",menu
"There are six of us, what do you recommend?",menu
We have 6 people and want to share a mix,menu
Any good combo for a group of six?,menu
Three orders of fries and a big bowl of baba ghanouj,menu
I want three fries and one large baba ghanouj,menu
"3 fries and a large baba ghanouj, please",menu
Order three fries and a family-size baba ghanouj,menu
I'd like a chicken shawarma plate with rice and pita bread,menu
I'd like a chicken shawarma plate with rice and markouk,menu
I'd like a chicken shawarma plate with rice and no bread,menu
I'd like a chicken shawarma plate with fries and pita bread,menu
I'd like a chicken shawarma plate with fries and markouk,menu
I'd like a chicken shawarma plate with fries and no bread,menu
I'd like a chicken shawarma plate with half rice half fries and pita bread,menu
I'd like a chicken shawarma plate with half rice half fries and markouk,menu
I'd like a chicken shawarma plate with half rice half fries and no bread,menu
I'd like a beef shawarma plate with rice and pita bread,menu
I'd like a beef shawarma plate with rice and markouk,menu
I'd like a beef shawarma plate with rice and no bread,menu
I'd like a beef shawarma plate with fries and pita bread,menu
I'd like a beef shawarma plate with fries and markouk,menu
I'd like a beef shawarma plate with fries and no bread,menu
I'd like a beef shawarma plate with half rice half fries and pita bread,menu
I'd like a beef shawarma plate with half rice half fries and markouk,menu
I'd like a beef shawarma plate with half rice half fries and no bread,menu
I'd like a mixed shawarma plate with rice and pita bread,menu
I'd like a mixed shawarma plate with rice and markouk,menu
I'd like a mixed shawarma plate with rice and no bread,menu
I'd like a mixed shawarma plate with fries and pita bread,menu
I'd like a mixed shawarma plate with fries and markouk,menu
I'd like a mixed shawarma plate with fries and no bread,menu
I'd like a mixed shawarma plate with half rice half fries and pita bread,menu
I'd like a mixed shawarma plate with half rice half fries and markouk,menu
I'd like a mixed shawarma plate with half rice half fries and no bread,menu
Can you make my chicken shawarma wrap with extra garlic and extra pickles?,menu
"Can you make my chicken shawarma wrap with no onions, extra tomatoes?",menu
"Can you make my chicken shawarma wrap with light garlic, very spicy?",menu
"Can you make my chicken shawarma wrap with no pickles, no onions?",menu
Can you make my chicken shawarma wrap with extra crispy fries inside?,menu
Can you make my beef shawarma wrap with extra garlic and extra pickles?,menu
"Can you make my beef shawarma wrap with no onions, extra tomatoes?",menu
"Can you make my beef shawarma wrap with light garlic, very spicy?",menu
"Can you make my beef shawarma wrap with no pickles, no onions?",menu
Can you make my beef shawarma wrap with extra crispy fries inside?,menu
Can you make my falafel wrap with extra garlic and extra pickles?,menu
"Can you make my falafel wrap with no onions, extra tomatoes?",menu
"Can you make my falafel wrap with light garlic, very spicy?",menu
"Can you make my falafel wrap with no pickles, no onions?",menu
Can you make my falafel wrap with extra crispy fries inside?,menu
I want 4 pieces of falafel with tahini on the side,menu
I want 4 pieces of falafel with garlic sauce on the side,menu
I want 4 pieces of falafel with both tahini and garlic on the side,menu
I want 6 pieces of falafel with tahini on the side,menu
I want 6 pieces of falafel with garlic sauce on the side,menu
I want 6 pieces of falafel with both tahini and garlic on the side,menu
I want a dozen falafel with tahini on the side,menu
I want a dozen falafel with garlic sauce on the side,menu
I want a dozen falafel with both tahini and garlic on the side,menu
Can I get a small hummus with pine nuts?,menu
Can I get a small hummus with beef shawarma on top?,menu
Can I get a small hummus with chicken shawarma on top?,menu
Can I get a small hummus plain?,menu
Can I get a large hummus with pine nuts?,menu
Can I get a large hummus with beef shawarma on top?,menu
Can I get a large hummus with chicken shawarma on top?,menu
Can I get a large hummus plain?,menu
Can I get a family-size hummus with pine nuts?,menu
Can I get a family-size hummus with beef shawarma on top?,menu
Can I get a family-size hummus with chicken shawarma on top?,menu
Can I get a family-size hummus plain?,menu
We want a mixed grill to feed 3 people,menu
We want a mixed grill to feed 4 people,menu
We want a mixed grill to feed 5 people,menu
We want a mixed grill to feed 6 people,menu
"Do three manakish for us: Za'atar, Cheese, Za'atar and cheese",menu
"Do three manakish for us: Za'atar, Cheese, Spicy sujuk",menu
"Do three manakish for us: Za'atar, Cheese, Kishk",menu
"Do three manakish for us: Za'atar, Za'atar and cheese, Spicy sujuk",menu
"Do three manakish for us: Za'atar, Za'atar and cheese, Kishk",menu
"Do three manakish for us: Za'atar, Spicy sujuk, Kishk",menu
"Do three manakish for us: Cheese, Za'atar and cheese, Spicy sujuk",menu
"Do three manakish for us: Cheese, Za'atar and cheese, Kishk",menu
"Do three manakish for us: Cheese, Spicy sujuk, Kishk",menu
"Do three manakish for us: Za'atar and cheese, Spicy sujuk, Kishk",menu
1 mint lemonade please,menu
2 mint lemonade please,menu
3 mint lemonade please,menu
4 mint lemonade please,menu
1 sparkling mint lemonade please,menu
2 sparkling mint lemonade please,menu
3 sparkling mint lemonade please,menu
4 sparkling mint lemonade please,menu
1 Coke please,menu
2 Coke please,menu
3 Coke please,menu
4 Coke please,menu
1 Sprite please,menu
2 Sprite please,menu
3 Sprite please,menu
4 Sprite please,menu
1 Ayran yogurt drink please,menu
2 Ayran yogurt drink please,menu
3 Ayran yogurt drink please,menu
4 Ayran yogurt drink please,menu
1 Laban-up please,menu
2 Laban-up please,menu
3 Laban-up please,menu
4 Laban-up please,menu
1 Turkish coffee please,menu
2 Turkish coffee please,menu
3 Turkish coffee please,menu
4 Turkish coffee please,menu
1 Arabic tea with mint please,menu
2 Arabic tea with mint please,menu
3 Arabic tea with mint please,menu
4 Arabic tea with mint please,menu
I'd like a slice of baklava,menu
I'd like two slices of baklava,menu
I'd like a small tray of baklava,menu
I'd like a big tray of baklava,menu
I'd like a slice of nammoura,menu
I'd like two slices of nammoura,menu
I'd like a small tray of nammoura,menu
I'd like a big tray of nammoura,menu
I'd like a slice of knafeh,menu
I'd like two slices of knafeh,menu
I'd like a small tray of knafeh,menu
I'd like a big tray of knafeh,menu
I need a small chicken shawarma tray for a party,menu
I need a medium chicken shawarma tray for a party,menu
I need a large chicken shawarma tray for a party,menu
I need a small rice tray for a party,menu
I need a medium rice tray for a party,menu
I need a large rice tray for a party,menu
I need a small mixed grill tray for a party,menu
I need a medium mixed grill tray for a party,menu
I need a large mixed grill tray for a party,menu
I need a small mezze appetizer tray for a party,menu
I need a medium mezze appetizer tray for a party,menu
I need a large mezze appetizer tray for a party,menu
Can I get 250 grams of labneh from your deli?,menu
Can I get half kilo of labneh from your deli?,menu
Can I get one kilo of labneh from your deli?,menu
Can I get 250 grams of green olives from your deli?,menu
Can I get half kilo of green olives from your deli?,menu
Can I get one kilo of green olives from your deli?,menu
Can I get 250 grams of kalamata olives from your deli?,menu
Can I get half kilo of kalamata olives from your deli?,menu
Can I get one kilo of kalamata olives from your deli?,menu
I want to place two chicken shawarma wraps for pickup as soon as possible,menu
I want to place two chicken shawarma wraps for pickup in about 20 minutes,menu
I want to place two chicken shawarma wraps for pickup around 6:30 pm,menu
I want to place two chicken shawarma wraps for pickup for tomorrow at noon,menu
I want to place a mixed grill for 4 for pickup as soon as possible,menu
I want to place a mixed grill for 4 for pickup in about 20 minutes,menu
I want to place a mixed grill for 4 for pickup around 6:30 pm,menu
I want to place a mixed grill for 4 for pickup for tomorrow at noon,menu
I want to place three falafel plates for pickup as soon as possible,menu
I want to place three falafel plates for pickup in about 20 minutes,menu
I want to place three falafel plates for pickup around 6:30 pm,menu
I want to place three falafel plates for pickup for tomorrow at noon,menu
I want to place a family hummus and a tabbouleh for pickup as soon as possible,menu
I want to place a family hummus and a tabbouleh for pickup in about 20 minutes,menu
I want to place a family hummus and a tabbouleh for pickup around 6:30 pm,menu
I want to place a family hummus and a tabbouleh for pickup for tomorrow at noon,menu
Just give me whatever you recommend for one person,menu
Make me a good vegetarian combo,menu
We want a typical Lebanese meal for two,menu
Can you put together a mezze sampler for us?,menu
How many pita breads come with the hummus?,menu
"If I order shawarma, do I get bread with it?",menu
Can I get extra pita bread with my order?,menu
Does the mixed grill include bread?,menu
I'll take one chicken shawarma sandwich,menu
Can I have a chicken shawarma sandwich?,menu
I just want a chicken shawarma sandwich tonight,menu
Order a chicken shawarma sandwich for me,menu
Please make me a chicken shawarma sandwich to go,menu
Let me do one chicken shawarma sandwich only,menu
Put in an order for a chicken shawarma sandwich,menu
I'll take one beef shawarma sandwich,menu
Can I have a beef shawarma sandwich?,menu
I just want a beef shawarma sandwich tonight,menu
Order a beef shawarma sandwich for me,menu
Please make me a beef shawarma sandwich to go,menu
Let me do one beef shawarma sandwich only,menu
Put in an order for a beef shawarma sandwich,menu
I'll take one mixed shawarma wrap,menu
Can I have a mixed shawarma wrap?,menu
I just want a mixed shawarma wrap tonight,menu
Order a mixed shawarma wrap for me,menu
Please make me a mixed shawarma wrap to go,menu
Let me do one mixed shawarma wrap only,menu
Put in an order for a mixed shawarma wrap,menu
I'll take one falafel wrap,menu
Can I have a falafel wrap?,menu
I just want a falafel wrap tonight,menu
Order a falafel wrap for me,menu
Please make me a falafel wrap to go,menu
Let me do one falafel wrap only,menu
Put in an order for a falafel wrap,menu
I'll take one falafel plate,menu
Can I have a falafel plate?,menu
I just want a falafel plate tonight,menu
